City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hualmay,PE,2023-04-04 21:19:12,-11.0964,-77.6139,80.42,74,77,9.51
1,Qaanaaq,GL,2023-04-04 21:19:12,77.484,-69.3632,-14.24,81,0,1.43
2,Nikolskoye,RU,2023-04-04 21:19:12,59.7035,30.7861,33.69,99,100,4.09
3,Jamestown,US,2023-04-04 21:16:40,42.097,-79.2353,58.64,67,75,10.36
4,San Andres,CO,2023-04-04 21:19:13,12.5847,-81.7006,84.22,70,40,13.8
5,Manica,FR,2023-04-04 21:19:13,49.0,-1.1667,35.89,89,7,3.44
6,Upernavik,GL,2023-04-04 21:18:09,72.7868,-56.1549,-16.06,95,52,5.59
7,Acajutla,SV,2023-04-04 21:19:13,13.5928,-89.8275,87.78,54,6,10.31
8,Bredasdorp,ZA,2023-04-04 21:17:10,-34.5322,20.0403,61.7,89,7,4.5
9,Georgetown,MY,2023-04-04 21:16:48,5.4112,100.3354,80.55,83,20,1.14
10,Coihaique,CL,2023-04-04 21:17:16,-45.5752,-72.0662,61.41,88,75,5.75
11,Dikson,RU,2023-04-04 21:16:37,73.5069,80.5464,0.79,93,100,15.79
12,Punta Arenas,CL,2023-04-04 21:19:14,-53.15,-70.9167,55.51,44,0,3.44
13,Ushuaia,AR,2023-04-04 21:19:15,-54.8,-68.3,53.26,40,75,8.05
14,Cabo San Lucas,MX,2023-04-04 21:19:15,22.8909,-109.9124,84.61,41,0,11.5
15,Mantua,IT,2023-04-04 21:19:15,45.1667,10.7833,43.84,65,19,1.01
16,Baluseni,RO,2023-04-04 21:19:15,47.6667,26.8,35.62,95,100,15.23
17,Makurdi,NG,2023-04-04 21:19:15,7.7411,8.5121,90.28,40,99,4.81
18,Atuona,PF,2023-04-04 21:19:15,-9.8,-139.0333,80.4,72,10,13.47
19,Barrow,US,2023-04-04 21:19:16,71.2906,-156.7887,-7.58,77,75,11.5
20,Bambous Virieux,MU,2023-04-04 21:19:16,-20.3428,57.7575,75.45,88,40,1.14
21,Keetmanshoop,NA,2023-04-04 21:19:16,-26.5833,18.1333,74.57,15,0,9.86
22,College,US,2023-04-04 21:19:16,64.8569,-147.8028,37.72,60,75,3.44
